period,window,report,report_cutoff,source_page,total_income_m,primary_spending_m,primary_result_m,interest_m,financial_result_m,primary_result_pct,interest_pct,financial_result_pct,own_tax_share_pct,national_tax_share_pct,social_security_income_share_pct,personnel_share_total_income_pct,current_transfers_share_total_income_pct,capital_spending_share_total_income_pct,social_security_spending_share_total_income_pct,salary_primary_ex_ss_pct,capital_primary_ex_ss_pct,autonomy_ex_ss_pct,iibb_own_tax_pct,debt_income_pct,bonds_banks_debt_pct,general_rank,universe,quarter_primary_pct,quarter_financial_pct,quarter_comparator_period,quarter_comparator_primary_pct,quarter_comparator_financial_pct,real_income_yoy_pct,real_primary_spending_yoy_pct,evidence_status
2025-Q4,LTM,Provincias 4T25,2025-12-31,8,34522845,35378777,-855932,-1193630,-2049563,-2.5,-3.5,-5.9,40.7,39.7,15.7,42.6,26.8,7.0,19.9,51.6,8.4,48.2,75.7,51.9,82.0,15,23,-3.5,-6.5,2024-Q4,-10.0,-13.3,-1.8,-8.7,visual_and_table_verified
2026-Q1,LTM,Provincias 1T26,2026-03-31,8,36857309,37868026,-1010717,-1416307,-2427024,-2.7,-3.8,-6.6,40.9,39.3,15.7,42.8,27.3,6.7,19.8,51.6,8.1,48.5,74.9,45.2,80.9,16,23,1.7,-3.9,2025-Q1,4.4,0.0,-0.8,2.0,visual_and_table_verified
