ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim2,programacion_trim2,programacion_acumulada_trim2,ejecutado_vigente_trim2,ejecutado_acumulado_trim2,porc_desvio_acum_trim2,ultima_actualizacion_fecha,filas_csv,causas,requiere_revision_clave
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Indicador,359,Porcentaje de bancas ocupadas por mujeres en la Cámara de Senadores del Congreso Nacional,1187,Porcentaje,Suma: el total es la suma de las cantidades,47.0,47.0,47.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[2],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Indicador,640,Participación de Actividades Culturales en la Cámara,45,Visitante,Suma: el total es la suma de las cantidades,82931.0,82931.0,82931.0,22519.0,34166.0,21869.0,32216.0,-5.71,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[3],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""Durante el primer semestre de 2026 se registró un incremento tanto en la cantidad  de visitantes recibidos como en el número de visitas guiadas realizadas. En algunos  meses, los resultados superaron ampliamente las proyecciones previstas.  Este crecimiento se explica, en primer lugar, por la decisión adoptada a comienzos  del año de ampliar la oferta de cupos y turnos.También se optimizó la gestión de la  agenda y se implementó la disponibilidad de turnos de carácter condicional los días  miércoles y jueves.  Entre marzo y julio, en comparación con el periodo estival, aumentaron las  solicitudes de instituciones educativas, impulsado tanto por el inicio del ciclo lectivo  como por las acciones de promoción en redes sociales.  Por último, se incrementó la participación del equipo de guías en eventos y  reuniones protocolares, fortaleciendo su presencia institucional.""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Meta,4430,Desarrollo de Actividades Culturales,972,Visita Guiada,Suma: el total es la suma de las cantidades,2880.0,2880.0,2880.0,730.0,1370.0,765.0,1413.0,3.14,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[4],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""Durante el primer semestre de 2026 se registró un incremento tanto en la cantidad  de visitantes recibidos como en el número de visitas guiadas realizadas. En algunos  meses, los resultados superaron ampliamente las proyecciones previstas.  Este crecimiento se explica, en primer lugar, por la decisión adoptada a comienzos  del año de ampliar la oferta de cupos y turnos.También se optimizó la gestión de la  agenda y se implementó la disponibilidad de turnos de carácter condicional los días  miércoles y jueves.  Entre marzo y julio, en comparación con el periodo estival, aumentaron las  solicitudes de instituciones educativas, impulsado tanto por el inicio del ciclo lectivo  como por las acciones de promoción en redes sociales.  Por último, se incrementó la participación del equipo de guías en eventos y  reuniones protocolares, fortaleciendo su presencia institucional.""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Meta,4807,Difusión de Actividades Legislativas en Escuelas,2288,Institución Educativa Visitada,Suma: el total es la suma de las cantidades,20.0,20.0,20.0,6.0,10.0,5.0,7.0,-30.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[5],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""Las variaciones entre la planificación y la ejecución se deben principalmente a la agenda cambiante de los senadores. Estos cambios requieren ajustes en la programación y la redistribución de actividades, afectando directamente las estimaciones iniciales. ""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,622,Formación y Sanción Legislativa,2266,Sesión Legislativa,Suma: el total es la suma de las cantidades,36.0,12.0,12.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[6],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,622,Formación y Sanción Legislativa,2267,Reunión de Comisión,Suma: el total es la suma de las cantidades,72.0,184.0,184.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[7],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,623,Participación de Eventos Realizados en la Cámara,45,Visitante,Suma: el total es la suma de las cantidades,20000.0,27964.0,27964.0,,,,,0.0,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[8],"[{""causa_desvio"": ""-"", ""causa_desvio_detalle"": ""-"", ""causa_desvio_comentario"": ""-""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Meta,4430,Desarrollo de Actividades Culturales,972,Visita Guiada,Suma: el total es la suma de las cantidades,144.0,1344.0,1344.0,336.0,672.0,436.0,772.0,14.88,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[9],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""La cantidad de visitas guidas y participantes esta directamente relacionado a la demanda espontánea de los ciudadanos y turistas.""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Meta,4430,Desarrollo de Actividades Culturales,1440,Evento Realizado,Suma: el total es la suma de las cantidades,50.0,82.0,82.0,21.0,38.0,27.0,44.0,15.79,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[10],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""La cantidad de visitas guidas y participantes esta directamente relacionado a la demanda espontánea de los ciudadanos y turistas.""}]",False
2026,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Meta,4804,Formación y Sanción Legislativa,2284,Dictamen Aprobado,Suma: el total es la suma de las cantidades,20.0,400.0,400.0,140.0,160.0,174.0,194.0,21.25,Última actualización del ejercicio 2026: 15 Septiembre 2026.,[11],"[{""causa_desvio"": ""Otras Causas"", ""causa_desvio_detalle"": ""Otras Causas"", ""causa_desvio_comentario"": ""Los Dictamenes aprobados son el resultado de las reuniones de Comisión, los temas presentados para el debate y las cuestiones de interes social.""}]",False
