inciso_id,inciso_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,devengado_menos_pagado,corte
1,Gastos en personal,16346338.254802,17012016.601455,12335164.84831843,11024179.88131464,10919067.88873769,105111.99257695,2026-09-15
2,Bienes de consumo,1340974.694081,1837781.331546,1026929.28828342,867273.14460606,752651.72061119,114621.42399487,2026-09-15
3,Servicios no personales,2503908.648994,3001668.01422,1699135.9043674,1483658.01023755,1367266.11890676,116391.89133079,2026-09-15
4,Bienes de uso,1279131.566314,1399711.749033,606238.41910224,536568.91719011,491213.50947083,45355.40771928,2026-09-15
5,Transferencias,112179466.142229,114480023.790921,79272875.55605026,78634231.01655123,76729216.24912928,1905014.76742195,2026-09-15
6,Incremento de activos financieros,299620.970239,299380.904845,273141.04536417,273139.04536417,272819.71075817,319.334606,2026-09-15
7,Servicio de la deuda y disminución de otros pasivos,14119847.24989,14329847.24989,12435200.08152794,12435200.08152794,12376650.91358495,58549.16794299,2026-09-15
8,Otros gastos,6.0,114539.198506,110902.05830065,110901.91830065,110901.73830065,0.18,2026-09-15
