etapa,nominal_2026,nominal_2025,real_2026,real_2025,variacion_real_pct,periodo
credito_comprometido,103058816.85205026,79305902.34947956,110892336.82239759,113551635.33139814,-2.34192885,enero–agosto
credito_devengado,101224608.37024507,76923520.7420812,108570251.22678362,109656191.6156818,-0.99031379,enero–agosto
credito_pagado,99025967.10866804,74931414.68979573,105925157.74883893,106626085.78228025,-0.65737013,enero–agosto
