impacto_presupuestario_mes,finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,mes_completo,ipc,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
1,5,DEUDA PUBLICA,1,Servicio de la Deuda Pública,119128.98611408,119128.98611408,61712.05199473,2025,2025-01,True,7864.1257,185973.46254776,185973.46254776,96339.30720603
2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,31142.59872929,31020.16588329,30046.43988266,2025,2025-02,True,8052.9927,47476.80911612,47290.1605673,45805.71786343
2,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,173044.61434553,190345.64040902,189995.53976645,2025,2025-02,True,8052.9927,263806.05534143,290181.4236615,289647.69616101
2,1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,40090.14640502,32650.9144795,28768.84677413,2025,2025-02,True,8052.9927,61117.32180264,49776.23247452,43858.03055997
2,1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,30010.94800013,31419.72413489,68960.03276761,2025,2025-02,True,8052.9927,45751.6105827,47899.28606152,105129.38694708
2,1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,157042.71553854,151895.85757344,149511.10755842,2025,2025-02,True,8052.9927,239411.20307625,231564.83176726,227929.28669804
2,1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,5963.52800867,4467.26579579,4610.69432925,2025,2025-02,True,8052.9927,9091.38262312,6810.33485039,7028.99126901
2,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,7044.22236396,6911.73711455,7238.02477061,2025,2025-02,True,8052.9927,10738.8982998,10536.92488866,11034.34955442
2,1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,439.94940736,3479.22405163,2585.46499663,2025,2025-02,True,8052.9927,670.70170398,5304.06783349,3941.53452602
2,2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,176393.13902078,152639.91250941,142750.53361533,2025,2025-02,True,8052.9927,268910.87232248,232699.14154256,217622.80966311
2,2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,198840.76391725,190186.26506391,186496.81210798,2025,2025-02,True,8052.9927,303132.21690532,289938.45637083,284313.89513064
2,2,SERVICIOS DE DEFENSA Y SEGURIDAD,3,Sistema Penal,35819.57480115,35837.7832519,31038.34900927,2025,2025-02,True,8052.9927,54606.84672584,54634.60546069,47317.88069461
2,2,SERVICIOS DE DEFENSA Y SEGURIDAD,4,Inteligencia,28562.10022598,15528.96765722,15961.59869846,2025,2025-02,True,8052.9927,43542.84599599,23673.86998243,24333.41485668
2,3,SERVICIOS SOCIALES,1,Salud,634315.13962276,574373.32719915,592750.36776665,2025,2025-02,True,8052.9927,967011.74700009,875630.61303475,903646.36261065
2,3,SERVICIOS SOCIALES,2,Promoción y Asistencia Social,217727.18219778,216420.176559,220110.73185011,2025,2025-02,True,8052.9927,331924.51145293,329931.98482516,335558.22657241
2,3,SERVICIOS SOCIALES,3,Seguridad Social,4904286.57724519,4906086.46444117,4980272.63964019,2025,2025-02,True,8052.9927,7476571.87194273,7479315.79519643,7592412.42241098
2,3,SERVICIOS SOCIALES,4,Educación y Cultura,423682.19537833,416764.16108726,392560.11497174,2025,2025-02,True,8052.9927,645902.38248025,635355.85756269,598456.85349263
2,3,SERVICIOS SOCIALES,5,"Ciencia, Tecnología e Innovación",108138.02806129,102631.69883413,129457.99107599,2025,2025-02,True,8052.9927,164856.13680115,156461.75250713,197358.36383783
2,3,SERVICIOS SOCIALES,6,Trabajo,89906.20808332,90221.90443942,90333.1054487,2025,2025-02,True,8052.9927,137061.77562861,137543.05388568,137712.57952922
2,3,SERVICIOS SOCIALES,7,Vivienda y Urbanismo,1317.82451418,1311.75937503,1751.98381108,2025,2025-02,True,8052.9927,2009.01997461,1999.77368607,2670.89467055
2,3,SERVICIOS SOCIALES,8,Agua Potable y Alcantarillado,3740.55455893,3796.80026193,3382.89389289,2025,2025-02,True,8052.9927,5702.46549835,5788.21192331,5157.21276214
2,4,SERVICIOS ECONOMICOS,1,"Energía, Combustibles y Minería",-208553.96140269,133232.28240643,131549.17527425,2025,2025-02,True,8052.9927,-317939.96069484,203112.26095482,200546.36859847
2,4,SERVICIOS ECONOMICOS,2,Comunicaciones,9135.26020347,8662.70275664,11298.93034272,2025,2025-02,True,8052.9927,13926.6799369,13206.26736329,17225.18932221
2,4,SERVICIOS ECONOMICOS,3,Transporte,155943.08532907,145944.70168448,154907.49021774,2025,2025-02,True,8052.9927,237734.81974012,222492.3104078,236156.05774118
2,4,SERVICIOS ECONOMICOS,4,Ecología y Desarrollo Sostenible,20806.68503137,26640.21660966,23558.04054043,2025,2025-02,True,8052.9927,31719.73611324,40612.93952323,35914.17028521
2,4,SERVICIOS ECONOMICOS,5,"Agricultura, Ganadería y Pesca",110445.81637916,19102.9477341,16823.54636925,2025,2025-02,True,8052.9927,168374.3539673,29122.39312495,25647.45179335
2,4,SERVICIOS ECONOMICOS,6,Industria,12884.87897316,6267.36216815,5408.64255258,2025,2025-02,True,8052.9927,19642.9638005,9554.57699293,8245.46121787
2,4,SERVICIOS ECONOMICOS,7,"Comercio, Turismo y Otros Servicios",6104.19339239,3529.08477663,3601.14193312,2025,2025-02,True,8052.9927,9305.8266273,5380.08037644,5489.93132028
