documento,url,sha256,bytes,fecha_verificacion
nbi-catalog-1.xlsx,https://datos.estadistica.ec.gba.gov.ar/dataset/b82780f2-8e39-43fa-bdfa-7d847faed526/resource/abcc8266-0c4a-416c-b3b0-f643f99ea5a6/download/1.poblacion-con-necesidades-basicas-insatisfechas-n.b.i..-por-municipio.-provincia-de-buenos.xlsx,879b167787934ab786899f77dfe70ffe1a53097a67f49b7e654f7f020d427924,60329,2026-09-07
trenque-fiscal.pdf,https://www.trenquelauquen.gov.ar/wordpress/wp-content/uploads/Situacion-Economica-Financiera-II°-trimestre-2026.pdf,61e38d09e942fbde48aac3465ec6ed96dab16506d150a9ae08b832ebdc723259,344135,2026-09-07
rodriguez-fiscal.pdf,https://generalrodriguez.gob.ar/uploads/pdf/situacionecono/econo-financiera-al30062026.pdf,26b63880a57cab2ea61c8d87e35fc5f8e850ff244b2becf269b6bb1dc8ec6566,1187676,2026-09-07
municipio-06329-2026-06-30-1.pdf,https://gobiernodelasheras.com/wp-content/uploads/2026/07/SITECOFIN-1SEM-2026.pdf,135ed8813ecbdc9fb40b32da86a34c0c9e240ceec5017726419014f65124dbfc,319494,2026-09-07
municipio-06301-2026-06-30-1.pdf,https://gestion.generalbelgrano.gob.ar/gobiernoabierto/2026/Información Financiera/Situacion economico-financiera al 30.06.2026.pdf,c9747fc3f5d07ea78bfcd50b158f137598ee85d4da37d459f49a9e1e5555ca16,401228,2026-09-07
municipio-06274-2026-06-30-1.pdf,https://florenciovarela.gob.ar/informeseconomicos/imagenes/2026/situacioneconomicofinanciera-del01012026al30062026.pdf,9480160fd8736877b6e169c3830ef90884ae90216c74712ff094073e1d35b0c7,1644736,2026-09-07
municipio-06287-2026-06-30-1.pdf,https://munialvear.gov.ar/wp-content/uploads/hacienda/Situacion%20Economica%20Financiera%201º%20Semestre.pdf,d724887c973f4c304524dcd5dd9c2197568d290484d57e44da1f91ba4826cdc0,301628,2026-09-07
municipio-06581-2026-06-30-1.pdf,https://necochea.gov.ar/descargas/transparencia/economica/2026/Situacion-Economico-Financiera-a-30-06-2026.pdf,c9af855517a2a3ab254324b9745b660c7f9bcb647f040e0ea74b661077c5b6b0,368146,2026-09-07
municipio-06218-2026-06-30-1.pdf,https://uploads.chascomus.gob.ar/boletines/Situacion Economico Financiera Semestre I 2026.pdf,de2f69ffb555e378f43c4a5318b2f747a9405a86f6801935141c38109250fdf1,132481,2026-09-07
municipio-06595-2026-06-30-1.pdf,https://www.olavarria.gov.ar/wp-content/uploads/2026/07/ESTADO-DE-SITUACION-ECONOMICA-Y-FINANCIERA-AL-30-06-2026.pdf,144a1467e7c5bb22085fa97c051910f8c34bf120901baf0666922a57d0101164,346449,2026-09-07
municipio-06833-2026-06-30-1.pdf,https://jitsi.tresarroyos.gov.ar/storage/archivos/situacion/2026-muni-sem1-6a450660c9f92.pdf,5003e06dfa98ef00e9eaf9ee22603158d4ae65c65d34127ab49d936c5b32a7a7,60918,2026-09-07
municipio-06266-2026-06-30-1.pdf,https://www.exaltaciondelacruz.gob.ar/?wpdmpro=situacion-economico-financiera-1o-semestre-2026&wpdmdl=6940&refresh=6a9f3d9f2bb721788820895,9d2c5d56b637bf5f55ac5811a27b6941dbab5030dd74f68195fb486dc94a2fe2,339551,2026-09-07
municipio-06413-2026-06-30-1.pdf,https://www.junin.gob.ar/sites/default/files/1er_semestre_2026.pdf,2afc87435ef2ff577f13972b3d1042b2ef4fad9bc35ed1057cbb3f20f3374d4d,331423,2026-09-07
municipio-06515-2026-06-30-1.pdf,https://www.malvinasargentinas.gob.ar/docs/informe-economico/situacion_economica_financiera_periodo_01012026_al_30062026.pdf,106bc8fe5318d556ba36b63c02102f3e04a5e92d97a285536db315f74a2866f7,230332,2026-09-07
municipio-06434-2026-06-30-1.pdf,https://www.lanus.gob.ar/documentos-oficiales/1419/situacion-economico-financiera-1er-semestre-2026/descargar,982adb119fd10350a7789e9d367a8f389857ebce120034569863521e993b3c0d,263298,2026-09-07
municipio-06882-2026-06-30-1.pdf,https://zarate.gob.ar/wp-content/uploads/2026/07/Situacion-Economica-Financiera-al-30-06-26.pdf,e6ae262ef3b7a3652bd61459787f2b0916c0fdcae8e2596dcfbe21c8153d5161,605401,2026-09-07
municipio-06371-2026-06-30-1.pdf,https://im.sanmartin.gov.ar/uploads/1785210695-Ejecuci%C3%B3n%20Presupuestaria%20de%20Recursos%20por%20Car%C3%A1cter%20Econ%C3%B3mico%2030%20Junio%202026.pdf,a1506fe842d79a44df464e79e4442906a3e3f2c6d9786c713c78b55e96ea150f,303229,2026-09-07
municipio-06371-2026-06-30-2.pdf,https://im.sanmartin.gov.ar/uploads/1785210659-Estado%20de%20Ejecuci%C3%B3n%20de%20Gastos%20por%20Car%C3%A1cter%20Econ%C3%B3mico%20Junio%202026.pdf,a309a2e4ca62b878360c4608ae8eceefe6fdcb32df64dd8049ba6cf5eb3d6270,300482,2026-09-07
municipio-06427-2026-06-30-1.pdf,https://www.lamatanza.gov.ar/upload/pdf/economia/informes/2026/2_trim/4.pdf,1e1bedf80ba16301a47cb54ed6bab80537428572fc70d80c6b38021811b90fd4,97534,2026-09-07
municipio-06007-2026-06-30-1.pdf,https://gobabierto.ar/adolfoalsina/wp-content/uploads/2026/07/SitEcoFin_al-30-06.pdf,84f44ebbce0fff798c359d81e45f56ed2c855b19a50d19d33fa8f6d4ffd1c512,141608,2026-09-07
municipio-06014-2026-06-30-1.pdf,https://gonzaleschaves.gob.ar/wp-content/uploads/2026/07/archivo-1.pdf,ca5242fd877c36ac540291985fad042a5c2f6373a2d159bea9a360edbe7d08c6,316086,2026-09-07
municipio-06021-2026-06-30-1.pdf,https://res.cloudinary.com/dshbxjhtw/image/upload/v1787237623/SIT_ECO_FIN_30_06_fbd8a6a41d.pdf,debceab3b92dc16fbbf6a492f6ca533a9d1e8dadddb8c19e98dc0cbeb5a09bb8,95435,2026-09-07
municipio-06042-2026-06-30-1.pdf,https://www.ayacucho.gob.ar/sites/default/files/3._caif_31-03-26.pdf,4d8bc2d0f697fd014afe56f2205bbe6430766bd1daed6cb6af66cd75f89f67d7,28640,2026-09-07
municipio-06042-2026-06-30-2.pdf,https://www.ayacucho.gob.ar/sites/default/files/7._situacion_economico_financiera_al_30-6.pdf,91dcccfacf5fd46de47ccd46189e53fbf3ee8c3636a5c851c5fa49bf99794046,320281,2026-09-07
municipio-06063-2026-06-30-1.pdf,https://drive.google.com/uc?export=download&id=1Pz9XM5htls5E_micuS3k_kIkFEu6RSld,5e69a9c24ac668966513be2aab1d4c5c692cab55413cfd386c6155baf3353aad,305142,2026-09-07
municipio-06084-2026-06-30-1.pdf,https://drive.google.com/uc?export=download&id=1Q1Adx8AwntRQKNft94FDGMN7srlG8dXS,1d14aab4a2f6d4a233f534e02740dd0204e81f3b4eb48b789e01583544471b16,107962,2026-09-07
municipio-06098-2026-06-30-1.pdf,https://berisso.gob.ar/storage/pdfs/37bdfdcf-0d9e-4561-bc44-d276ba895f7f.pdf,467e4d1272bc80265e23f12450d8fe60f65dd6a880c98cffd3dca99447451f97,304640,2026-09-07
municipio-06105-2026-06-30-1.pdf,https://www.bolivar.gob.ar/archivos/2026-2do-trimestre-sit-economica.pdf,21f919bb8dd7c6bbaef6a46512952e3d425d6021ccb8be216d734e806b36b6ab,105282,2026-09-07
municipio-06112-2026-06-30-1.pdf,https://portalbragado.com.ar/informacion_fiscal_presupuestaria/regimen_provincial_fiscal_municipal/planillas_2026/2do_trimestre/8- Situacion Economica Financiera - (Planilla F) - 2do.TRIMESTRE.pdf,a14b60b43d4df45d7df3542d6911b4493cd8ffb9df4c325f61976b1e236a6a88,374264,2026-09-07
municipio-06140-2026-06-30-1.pdf,https://www.capitansarmiento.gob.ar/_files/ugd/df75da_162e44493a1642cb82e859bab15f5c87.pdf,c99f5da809c1475fbeb6c87c04294b7061b8bc5eda9540258572487388369b4a,309452,2026-09-07
municipio-06147-2026-06-30-1.pdf,https://gobabierto.ar/carloscasares/wp-content/uploads/2026/07/SITUACION-ECONOMICO-FINANCIERA.pdf,a4a8c9fb2db6d78af94c4a69b87e09b4593eb75cb8a78a89c5b30a6339dea5cb,215661,2026-09-07
municipio-06154-2026-06-30-1.pdf,https://carlostejedor.gob.ar/wp-content/uploads/simple-file-list/Situacion-Economica-Financiera-2°-Trimestre-2026-1°-Semestre-2026.pdf,e3a6cfb65725899efb0143feefd330e8f8e8721046cd6812324c427e3a47c503,94742,2026-09-07
municipio-06189-2026-06-30-1.pdf,https://dorrego.gob.ar/mun/direcciones/administracion/menu/contabilidad/ejecuciones-trim/2026/trimestre2/Sit_Eco.rpt.pdf,eb9c46d28f31541016d1a54d3cf9d3d729a2072343bbed8787a435f803d4470e,66241,2026-09-07
municipio-06196-2026-06-30-1.pdf,https://www.ciudadabierta.coronelpringles.gov.ar/transparencia/siteconomicafinanciera/2026/S.E.F 1er Semestre 2026.pdf,90c8ab315438c6352d0754c9c04c3ddb7fe4caae4b91f931f5d8daa55d5bfe90,344604,2026-09-07
