province,source,sheet,year,period_type,period,category,value_millions,category_normalized
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Régimen de la Energía Eléctrica | L E Y Nº 2 4 . 0 6 5 | Fdo. P/Comp. | Tarifa Elect.,0.0,Régimen de la Energía Eléctrica | L E Y Nº 2 4 . 0 6 5 | Fdo. P/Comp. | Tarifa Elect.
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Subtotal,1051104.1332197476,Subtotal
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Subtotal,1051139.1416197475,Subtotal
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Total | (1) + (2),1254277.9776337475,Total | (1) + (2)
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Total | Recursos | Origen Nacional | (1),1105885.7504197476,Total | Recursos | Origen Nacional | (1)
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Transfer. | De Servicios | Ley | Nº 24.049,35.008399999999995,Transfer. | De Servicios | Ley | Nº 24.049
Buenos Aires,informacion_consolidada_2026_0.xlsx,febrero,2026,month,2026-02,Vialidad | Provincial,7114.5331,Vialidad | Provincial
Buenos Aires,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,C.F.I. | Neta De | Ley Nº 26.075,607074.3235,CFI | Neta
Buenos Aires,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Compensación | Consenso Fiscal | II. a y b; II. d y e | (2),173124.265083,Compensación Consenso Fiscal
Buenos Aires,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,F.E.D.E.I.,280.55992537378665,F.E.D.E.I.
Buenos Aires,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,F.E.D.E.I.,395.9639651565231,F.E.D.E.I.
Buenos Aires,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Financ. | Educativo | Ley Nº 26.075,352769.6577311522,Financiamiento Educativo
Buenos Aires,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Fondo | Compens. | de | Desequilib.,0.0,Fondo | Compens. | de | Desequilib.
Buenos Aires,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2,16621.326,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2
