province,source,year,period_type,period,tax,value_millions
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,700.51361444
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,21.43394392
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,544.05201285
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,2007.52058196
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,18127.22740953
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,1962.23930647
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,62.81959584
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,507.39831595
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,1904.25117703
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,20732.33087316
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,1483.14847646
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,33.30370756
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,592.46390066
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,1276.8003591
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,20529.25509348
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,867.19720608
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,38.10452567
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,727.77061905
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-06,Automotores,877.43017222
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-06,Iibb,21657.43274921
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-06,Inmobiliario,657.73305914
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-06,Otros,50.69767647
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-06,Sellos,669.28857695
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-07,Automotores,1344.67004549
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-07,Iibb,23144.8214386
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-07,Inmobiliario,1158.05642449
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-07,Otros,36.55201416
Catamarca,top_mensual_2026_12.xlsx,2026,month,2026-07,Sellos,633.31519923
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,0.0
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,33654.96214393
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,42.12787363
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,8561.4033365
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,5943.7805058
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,0.0
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,31721.619537
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,109.481298
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,6263.503418
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,5335.232937
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,0.0
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,28963.609582
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,155.71712
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,5981.860649
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,5405.164076
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,0.0
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,30813.30223956
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,237.63898186
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,6277.383788470001
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,5595.62454999
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,0.0
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,31627.75820333
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,257.83435546
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,6384.88839399
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,5438.57730869
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-06,Automotores,0.0
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-06,Iibb,33417.51318939
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-06,Inmobiliario,217.5334963
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-06,Otros,6545.490924680001
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-06,Sellos,5532.3617746
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-07,Automotores,0.0
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-07,Iibb,36452.55849965
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-07,Inmobiliario,78.45322696
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-07,Otros,9024.55796759
