province,source,year,period_type,period,tax,value_millions
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,109157.50090661
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,63.8604534
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,4742.517356450001
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,18423.321098
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,132387.19981446
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,0.0
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,220743.54805755
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,185.07940539
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,9648.75915192
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,37964.09034321
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,268541.47695806995
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,0.0
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,352816.99858723
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,240.50054899
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,13476.37144746
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,63338.38933793
Chubut,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,429872.25992161
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,0.0
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,72510.11
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,707.92
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,707.92
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,707.92
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,74633.87
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,0.0
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,148793.22
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,5664.63
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,253.33
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,24813.6
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,179524.78
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,0.0
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,232115.91
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,7783.46
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,421.57
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,39131.48
Corrientes,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,279452.42
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,44595.627161060016
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,531081.0647022624
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,89735.23550796094
