fecha_corte,cfi_neta_ars_m_xlsx,financ_educ_ars_m_xlsx,subtotal_cfi_ars_m_xlsx,leyes_especiales_ars_m_xlsx,compensacion_consenso_fiscal_ars_m_xlsx,total_ron_ars_m_xlsx,subtotal_cfi_ars_m_daily,leyes_especiales_ars_m_daily,total_ron_sin_comp_ars_m,compensacion_consenso_fiscal_ars_m_daily,total_ron_ars_m_daily,total_diff_xlsx_daily_ars_m,fuente_archivo,fuente_hoja
2026-01-31,972488.7257999999,168715.9232627251,1141204.649062725,45030.775311472826,173124.265083,1359359.689457198,,,1186235.4243741978,,,,informacion_consolidada_2026_4.xlsx,enero
2026-02-28,729010.0978999999,322094.0353197477,1051104.1332197476,54781.61719999998,148392.22721399998,1254277.9776337475,,,1105885.7504197476,,,,informacion_consolidada_2026_4.xlsx,febrero
2026-03-31,607074.3235,352769.6577311522,959843.9812311523,50135.45998022263,173124.265083,1183103.706294375,,,1009979.441211375,,,,informacion_consolidada_2026_4.xlsx,marzo
2026-04-30,706316.0861000001,368107.4689363741,1074423.5550363741,56792.79330000002,154598.36558,1285814.7139163741,,,1131216.3483363742,,,,informacion_consolidada_2026_4.xlsx,abril
2026-05-31,1300846.4405,291418.41290796484,1592264.8534079648,54418.62701827381,146868.447301,1793551.9277272387,,,1646683.4804262386,,,,informacion_consolidada_2026_4.xlsx,mayo
2026-06-30,814895.5462999999,322094.0353193298,1136989.5816193298,297107.6774506832,162328.283859,1596425.542929013,,,1434097.259070013,,,,informacion_consolidada_2026_4.xlsx,junio
2026-07-31,1081352.3255,322094.03531932976,1403446.3608193297,76101.83837554744,158484.169746,1638032.3689408773,,,1479548.1991948772,,,,informacion_consolidada_2026_4.xlsx,julio
