report_period,publication_date,source_sha256,province,period,rank,source_page
2024-Q2,2024-12-10,c71ad5ebdf037d9baa031c10a313f8a3516da21ff628259f5480beea09c222ef,San Luis,2017-Q3,3,24
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,San Luis,2017-Q4,3,24
2024-Q4,2025-05-23,de9af94b2ba4cd69ebde52e6d2cb3b99978cd6c1b9078fcdf92b7a04c044cbfb,San Luis,2018-Q1,3,24
2025-Q1,2025-07-21,941f92d5c21e9161787de5b4e43ae05a20e4686f1ed50dca5075922018981eba,San Luis,2018-Q2,3,24
2025-Q2,2025-11-13,29caa6d368008d48b067d3a46bf6aca74228c05d1917689bb2cbe8ca67ebb2db,San Luis,2018-Q3,3,24
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,San Luis,2018-Q4,3,24
2025-Q4,2026-06-17,0f0a3dcfab985ff3ffb50131919c71398b7fc593a3465179e0d7c45fb310b2a7,San Luis,2019-Q1,1,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2019-Q2,1,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2019-Q3,1,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2019-Q4,4,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2020-Q1,3,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2020-Q2,3,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2020-Q3,3,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2020-Q4,3,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2021-Q1,1,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2021-Q2,1,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2021-Q3,1,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2021-Q4,1,24
