province,period,tax,value_millions,price_basis,evidence_status,source_file,source_url
CABA,2026-01,Sellos,92341.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-02,Automotores,87703.1,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-02,Iibb,711180.3,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-02,Inmobiliario,67615.7,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-02,Otros,34761.1,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-02,Sellos,72461.5,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-03,Automotores,35478.9,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-03,Iibb,644673.9,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-03,Inmobiliario,67899.1,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-03,Otros,21763.4,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-03,Sellos,65069.4,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-04,Automotores,70253.2,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-04,Iibb,714719.7,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-04,Inmobiliario,70713.5,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-04,Otros,22766.1,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-04,Sellos,75230.9,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-05,Automotores,22555.3,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-05,Iibb,750198.5,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-05,Inmobiliario,78150.3,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-05,Otros,17718.4,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-05,Sellos,76067.6,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-06,Automotores,72261.9,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-06,Iibb,737506.4,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-06,Inmobiliario,76143.3,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-06,Otros,13369.2,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-06,Sellos,74624.5,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-07,Automotores,23775.7,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-07,Iibb,783413.9,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-07,Inmobiliario,80207.5,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-07,Otros,14376.6,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
CABA,2026-07,Sellos,78671.9,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-01,Automotores,625.53176229,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-01,Iibb,21870.15158181,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-01,Inmobiliario,272.52248699,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-01,Otros,10.74364309,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-01,Sellos,553.996111408,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-02,Automotores,938.17277267,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-02,Iibb,18769.00007792,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-02,Inmobiliario,700.51361444,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-02,Otros,21.43394392,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-02,Sellos,544.05201285,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-03,Automotores,2007.52058196,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-03,Iibb,18127.22740953,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-03,Inmobiliario,1962.23930647,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-03,Otros,62.81959584,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-03,Sellos,507.39831595,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-04,Automotores,1904.25117703,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-04,Iibb,20732.33087316,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-04,Inmobiliario,1483.14847646,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-04,Otros,33.30370756,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-04,Sellos,592.46390066,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-05,Automotores,1276.8003591,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-05,Iibb,20529.25509348,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-05,Inmobiliario,867.19720608,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-05,Otros,38.10452567,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-05,Sellos,727.77061905,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-06,Automotores,877.43017222,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-06,Iibb,21657.43274921,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-06,Inmobiliario,657.73305914,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-06,Otros,50.69767647,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-06,Sellos,669.28857695,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-07,Automotores,1344.67004549,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-07,Iibb,23144.8214386,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-07,Inmobiliario,1158.05642449,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-07,Otros,36.55201416,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Catamarca,2026-07,Sellos,633.31519923,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-01,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-01,Iibb,33654.96214393,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-01,Inmobiliario,42.12787363,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-01,Otros,8561.4033365,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-01,Sellos,5943.7805058,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-02,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-02,Iibb,31721.619537,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-02,Inmobiliario,109.481298,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-02,Otros,6263.503418,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-02,Sellos,5335.232937,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-03,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-03,Iibb,28963.609582,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-03,Inmobiliario,155.71712,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-03,Otros,5981.860649,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-03,Sellos,5405.164076,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-04,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-04,Iibb,30813.30223956,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-04,Inmobiliario,237.63898186,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-04,Otros,6277.383788470001,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-04,Sellos,5595.62454999,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-05,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-05,Iibb,31627.75820333,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-05,Inmobiliario,257.83435546,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-05,Otros,6384.88839399,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-05,Sellos,5438.57730869,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-06,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-06,Iibb,33417.51318939,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-06,Inmobiliario,217.5334963,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-06,Otros,6545.490924680001,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-06,Sellos,5532.3617746,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-07,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-07,Iibb,36452.55849965,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-07,Inmobiliario,78.45322696,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-07,Otros,9024.55796759,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chaco,2026-07,Sellos,5987.10957579,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-01,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-01,Iibb,49522.08536618,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-01,Inmobiliario,30.51375346,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-01,Otros,965.01556551,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-01,Sellos,17088.20476021,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-02,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-02,Iibb,45753.88642221,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-02,Inmobiliario,21.95354207,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-02,Otros,1539.09329535,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-02,Sellos,7999.14407822,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-03,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-03,Iibb,41764.97493621,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-03,Inmobiliario,27.9384995,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-03,Otros,833.02315976,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-03,Sellos,17134.04986435,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-04,Automotores,0.0,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-04,Iibb,46964.932341,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-04,Inmobiliario,47.35809269,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
Chubut,2026-04,Otros,376.71736963999996,pesos_corrientes,auditado,top_mensual_2026_12.xlsx,https://www.argentina.gob.ar/sites/default/files/top_mensual_2026_12.xlsx
