provincia,area,indicador,valor_base,unidad_y_lectura,periodo_base,fuente,nota_cobertura,meta,fecha_objetivo,responsable,frecuencia_seguimiento,fuente_seguimiento
Córdoba,Educación,Matemática · satisfactorio o avanzado,24.1,"24,1%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/cordoba_2024.pdf,"La participación estudiantil fue 88,8%. El ranking conserva esta cobertura visible.",,,,,
Córdoba,Salud,Mortalidad infantil,6.8,"6,8 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Entre Ríos,Seguridad,Víctimas de homicidio doloso,2.33007260232103,"2,3 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_30&start_date=2024-01-01&limit=10,,,,,,
Entre Ríos,Educación,Lengua · satisfactorio o avanzado,61.3,"61,3%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/entre_rios_2024.pdf,"La participación estudiantil fue 73,2%. El ranking conserva esta cobertura visible.",,,,,
Entre Ríos,Educación,Matemática · satisfactorio o avanzado,18.2,"18,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/entre_rios_2024.pdf,"La participación estudiantil fue 73,2%. El ranking conserva esta cobertura visible.",,,,,
Entre Ríos,Salud,Mortalidad infantil,8.8,"8,8 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Formosa,Seguridad,Víctimas de homicidio doloso,3.0320003702232,"3,0 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_34&start_date=2024-01-01&limit=10,,,,,,
Formosa,Educación,Lengua · satisfactorio o avanzado,46.2,"46,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/formosa_2024.pdf,"La participación estudiantil fue 77,5%. El ranking conserva esta cobertura visible.",,,,,
Formosa,Educación,Matemática · satisfactorio o avanzado,11.4,"11,4%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/formosa_2024.pdf,"La participación estudiantil fue 77,5%. El ranking conserva esta cobertura visible.",,,,,
Formosa,Salud,Mortalidad infantil,10.7,"10,7 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Jujuy,Seguridad,Víctimas de homicidio doloso,3.74651574036146,"3,7 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_38&start_date=2024-01-01&limit=10,,,,,,
Jujuy,Educación,Lengua · satisfactorio o avanzado,52.7,"52,7%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/jujuy_2024.pdf,"La participación estudiantil fue 76,8%. El ranking conserva esta cobertura visible.",,,,,
Jujuy,Educación,Matemática · satisfactorio o avanzado,15.9,"15,9%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/jujuy_2024.pdf,"La participación estudiantil fue 76,8%. El ranking conserva esta cobertura visible.",,,,,
