provincia,indicador,id,area,valor_base,periodo_base,unidad,referencia_mediana,universo_referencia,meta_propuesta,estado,criterio,horizonte,responsable_funcional,seguimiento,fuente,nota_cobertura
Chaco,Matemática · satisfactorio o avanzado,math_high,Educación,8.2,Aprender Secundaria 2024,%,16.25,22,12.22,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/chaco_2024.pdf,"La participación estudiantil fue 67,6%. El ranking conserva esta cobertura visible."
Chaco,Mortalidad infantil,infant_mortality,Salud,11.8,2024,cada 1.000 nacidos vivos,8.25,24,10.03,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Chubut,Víctimas de homicidio doloso,homicide_rate,Seguridad,3.48635672402,2025,cada 100.000 habitantes,2.88960391691822,24,3.19,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_26&start_date=2024-01-01&limit=10,
Chubut,Lengua · satisfactorio o avanzado,language_high,Educación,60.2,Aprender Secundaria 2024,%,54.65,22,60.2,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/chubut_2024.pdf,"La participación estudiantil fue 64,2%. El ranking conserva esta cobertura visible."
Chubut,Matemática · satisfactorio o avanzado,math_high,Educación,17.6,Aprender Secundaria 2024,%,16.25,22,17.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/chubut_2024.pdf,"La participación estudiantil fue 64,2%. El ranking conserva esta cobertura visible."
Chubut,Mortalidad infantil,infant_mortality,Salud,5.3,2024,cada 1.000 nacidos vivos,8.25,24,5.3,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Corrientes,Víctimas de homicidio doloso,homicide_rate,Seguridad,0.913693356203355,2025,cada 100.000 habitantes,2.88960391691822,24,0.91,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_18&start_date=2024-01-01&limit=10,
Corrientes,Lengua · satisfactorio o avanzado,language_high,Educación,51.3,Aprender Secundaria 2024,%,54.65,22,52.97,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/corrientes_2024.pdf,"La participación estudiantil fue 79,7%. El ranking conserva esta cobertura visible."
Corrientes,Matemática · satisfactorio o avanzado,math_high,Educación,10.7,Aprender Secundaria 2024,%,16.25,22,13.47,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/corrientes_2024.pdf,"La participación estudiantil fue 79,7%. El ranking conserva esta cobertura visible."
Corrientes,Mortalidad infantil,infant_mortality,Salud,14.0,2024,cada 1.000 nacidos vivos,8.25,24,11.12,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
