provincia,indicador,id,area,valor_base,periodo_base,unidad,referencia_mediana,universo_referencia,meta_propuesta,estado,criterio,horizonte,responsable_funcional,seguimiento,fuente,nota_cobertura
Salta,Lengua · satisfactorio o avanzado,language_high,Educación,55.8,Aprender Secundaria 2024,%,54.65,22,55.8,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/salta_2024.pdf,"La participación estudiantil fue 86,5%. El ranking conserva esta cobertura visible."
Salta,Matemática · satisfactorio o avanzado,math_high,Educación,16.6,Aprender Secundaria 2024,%,16.25,22,16.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/salta_2024.pdf,"La participación estudiantil fue 86,5%. El ranking conserva esta cobertura visible."
Salta,Mortalidad infantil,infant_mortality,Salud,10.1,2024,cada 1.000 nacidos vivos,8.25,24,9.18,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
San Juan,Víctimas de homicidio doloso,homicide_rate,Seguridad,1.41323280537311,2025,cada 100.000 habitantes,2.88960391691822,24,1.41,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_70&start_date=2024-01-01&limit=10,
San Juan,Lengua · satisfactorio o avanzado,language_high,Educación,49.8,Aprender Secundaria 2024,%,54.65,22,52.22,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/san_juan_2024.pdf,"La participación estudiantil fue 84,3%. El ranking conserva esta cobertura visible."
San Juan,Matemática · satisfactorio o avanzado,math_high,Educación,11.2,Aprender Secundaria 2024,%,16.25,22,13.72,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/san_juan_2024.pdf,"La participación estudiantil fue 84,3%. El ranking conserva esta cobertura visible."
San Juan,Mortalidad infantil,infant_mortality,Salud,9.2,2024,cada 1.000 nacidos vivos,8.25,24,8.72,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
San Luis,Víctimas de homicidio doloso,homicide_rate,Seguridad,1.30554876877426,2025,cada 100.000 habitantes,2.88960391691822,24,1.31,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_74&start_date=2024-01-01&limit=10,
San Luis,Lengua · satisfactorio o avanzado,language_high,Educación,53.5,Aprender Secundaria 2024,%,54.65,22,54.08,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/san_luis_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible."
San Luis,Matemática · satisfactorio o avanzado,math_high,Educación,13.5,Aprender Secundaria 2024,%,16.25,22,14.88,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/san_luis_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible."
San Luis,Mortalidad infantil,infant_mortality,Salud,6.3,2024,cada 1.000 nacidos vivos,8.25,24,6.3,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Santa Cruz,Víctimas de homicidio doloso,homicide_rate,Seguridad,4.47824023071894,2025,cada 100.000 habitantes,2.88960391691822,24,3.68,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_78&start_date=2024-01-01&limit=10,
Santa Cruz,Lengua · satisfactorio o avanzado,language_high,Educación,55.6,Aprender Secundaria 2024,%,54.65,22,,Propuesta para discutir; no aprobada,Actualizar medición con cobertura suficiente antes de fijar una meta numérica,Primeros 12 meses: acordar medición comparable,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_cruz_2024.pdf,"La participación estudiantil fue 49,8%. Se muestra el dato, pero se excluye del ranking por baja participación."
Santa Cruz,Matemática · satisfactorio o avanzado,math_high,Educación,12.6,Aprender Secundaria 2024,%,16.25,22,,Propuesta para discutir; no aprobada,Actualizar medición con cobertura suficiente antes de fijar una meta numérica,Primeros 12 meses: acordar medición comparable,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_cruz_2024.pdf,"La participación estudiantil fue 49,8%. Se muestra el dato, pero se excluye del ranking por baja participación."
Santa Cruz,Mortalidad infantil,infant_mortality,Salud,7.0,2024,cada 1.000 nacidos vivos,8.25,24,7.0,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Santa Fe,Víctimas de homicidio doloso,homicide_rate,Seguridad,5.64522629622402,2025,cada 100.000 habitantes,2.88960391691822,24,4.27,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_82&start_date=2024-01-01&limit=10,
Santa Fe,Lengua · satisfactorio o avanzado,language_high,Educación,57.0,Aprender Secundaria 2024,%,54.65,22,57.0,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_fe_2024.pdf,"La participación estudiantil fue 77,0%. El ranking conserva esta cobertura visible."
Santa Fe,Matemática · satisfactorio o avanzado,math_high,Educación,19.6,Aprender Secundaria 2024,%,16.25,22,19.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_fe_2024.pdf,"La participación estudiantil fue 77,0%. El ranking conserva esta cobertura visible."
Santa Fe,Mortalidad infantil,infant_mortality,Salud,8.2,2024,cada 1.000 nacidos vivos,8.25,24,8.2,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Santiago del Estero,Víctimas de homicidio doloso,homicide_rate,Seguridad,1.98717985113184,2025,cada 100.000 habitantes,2.88960391691822,24,1.99,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_86&start_date=2024-01-01&limit=10,
Santiago del Estero,Lengua · satisfactorio o avanzado,language_high,Educación,43.0,Aprender Secundaria 2024,%,54.65,22,48.83,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/santiago_del_estero_2024.pdf,"La participación estudiantil fue 82,7%. El ranking conserva esta cobertura visible."
Santiago del Estero,Matemática · satisfactorio o avanzado,math_high,Educación,8.6,Aprender Secundaria 2024,%,16.25,22,12.43,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/santiago_del_estero_2024.pdf,"La participación estudiantil fue 82,7%. El ranking conserva esta cobertura visible."
Santiago del Estero,Mortalidad infantil,infant_mortality,Salud,10.7,2024,cada 1.000 nacidos vivos,8.25,24,9.47,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Tierra del Fuego,Víctimas de homicidio doloso,homicide_rate,Seguridad,2.74720746361324,2025,cada 100.000 habitantes,2.88960391691822,24,2.75,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_94&start_date=2024-01-01&limit=10,
Tierra del Fuego,Lengua · satisfactorio o avanzado,language_high,Educación,59.5,Aprender Secundaria 2024,%,54.65,22,59.5,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/tierra_del_fuego_2024.pdf,"La participación estudiantil fue 68,8%. El ranking conserva esta cobertura visible."
Tierra del Fuego,Matemática · satisfactorio o avanzado,math_high,Educación,17.4,Aprender Secundaria 2024,%,16.25,22,17.4,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/tierra_del_fuego_2024.pdf,"La participación estudiantil fue 68,8%. El ranking conserva esta cobertura visible."
Tierra del Fuego,Mortalidad infantil,infant_mortality,Salud,5.6,2024,cada 1.000 nacidos vivos,8.25,24,5.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Tucumán,Víctimas de homicidio doloso,homicide_rate,Seguridad,2.65002675399351,2025,cada 100.000 habitantes,2.88960391691822,24,2.65,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_90&start_date=2024-01-01&limit=10,
Tucumán,Lengua · satisfactorio o avanzado,language_high,Educación,48.8,Aprender Secundaria 2024,%,54.65,22,51.72,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/tucuman_2024.pdf,"La participación estudiantil fue 78,3%. El ranking conserva esta cobertura visible."
Tucumán,Matemática · satisfactorio o avanzado,math_high,Educación,12.8,Aprender Secundaria 2024,%,16.25,22,14.53,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/tucuman_2024.pdf,"La participación estudiantil fue 78,3%. El ranking conserva esta cobertura visible."
Tucumán,Mortalidad infantil,infant_mortality,Salud,10.2,2024,cada 1.000 nacidos vivos,8.25,24,9.22,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
