report_period,publication_date,source_sha256,province,year,source_page,tax,royalties,national_tax,social_income,other_income,income,personnel,current_transfers,capital,social_spend,other_spend,primary_spend,primary,interest_signed,financial
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Tucumán,2022,49,23.8,0.0,67.2,0.0,9.1,100.0,51.2,25.2,11.6,0.0,6.3,94.3,5.7,-1.1,4.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Buenos Aires,2023,27,34.3,0.0,36.5,15.3,13.8,100.0,45.0,27.6,7.5,18.5,5.8,104.4,-4.4,-2.6,-7.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Catamarca,2023,28,10.1,0.7,69.7,0.0,19.5,100.0,45.3,27.2,22.8,0.0,6.8,102.1,-2.1,-0.5,-2.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,CABA,2023,29,78.9,0.0,9.3,0.0,11.8,100.0,40.6,11.3,15.2,0.0,21.6,88.7,11.3,-3.0,8.3
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Córdoba,2023,30,24.6,0.0,43.4,13.5,18.4,100.0,34.6,19.5,14.7,17.8,8.3,94.9,5.1,-2.4,2.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Corrientes,2023,31,11.1,0.2,69.0,11.9,7.8,100.0,42.9,16.3,14.3,15.8,11.1,100.5,-0.5,-0.5,-1.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Chaco,2023,32,10.6,0.0,66.1,11.7,11.6,100.0,43.6,20.7,17.4,16.5,4.6,102.8,-2.8,-1.8,-4.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Chubut,2023,33,19.7,20.1,33.1,15.2,11.8,100.0,48.8,7.9,9.0,18.0,6.8,90.5,9.5,-3.0,6.5
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Entre Ríos,2023,34,18.1,0.2,56.6,14.3,10.8,100.0,49.0,17.1,6.6,25.8,5.9,104.4,-4.4,-1.5,-5.9
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Formosa,2023,35,6.3,0.0,73.3,10.3,10.2,100.0,36.7,14.6,19.5,15.7,12.3,98.8,1.2,-0.1,1.1
