report_period,publication_date,source_sha256,province,year,source_page,tax,royalties,national_tax,social_income,other_income,income,personnel,current_transfers,capital,social_spend,other_spend,primary_spend,primary,interest_signed,financial
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Buenos Aires,2017,27,41.3,0.0,25.8,16.5,16.4,100.0,47.3,21.7,8.1,18.0,5.0,100.2,-0.2,-3.2,-3.4
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Buenos Aires,2018,27,40.1,0.0,31.2,17.0,11.7,100.0,45.8,21.2,6.3,18.7,5.2,97.3,2.7,-6.2,-3.6
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Buenos Aires,2019,27,37.2,0.0,36.3,16.2,10.2,100.0,43.4,23.7,5.2,19.0,5.6,96.8,3.2,-7.3,-4.2
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Buenos Aires,2020,27,34.5,0.0,37.1,15.4,13.0,100.0,43.3,27.5,5.0,19.5,5.3,100.5,-0.5,-3.1,-3.6
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Catamarca,2017,28,9.5,0.9,70.8,0.0,18.8,100.0,48.6,25.2,16.9,0.0,6.3,97.1,2.9,-0.8,2.2
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Catamarca,2018,28,8.8,0.4,72.8,0.0,18.1,100.0,46.4,24.6,12.1,0.0,6.0,89.1,10.9,-1.0,9.9
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Catamarca,2019,28,8.7,1.2,73.9,0.0,16.2,100.0,51.4,26.7,8.3,0.0,5.5,91.9,8.1,-1.0,7.1
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Catamarca,2020,28,8.3,0.5,79.0,0.0,12.2,100.0,51.4,31.8,10.9,0.0,5.3,99.4,0.6,-0.9,-0.2
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,CABA,2017,29,69.7,0.0,20.6,0.0,9.8,100.0,48.2,10.0,23.2,0.0,22.6,103.9,-3.9,-3.5,-7.3
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,CABA,2018,29,68.5,0.0,22.6,0.0,8.9,100.0,44.9,9.2,19.4,0.0,21.6,95.1,4.9,-5.8,-0.9
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,CABA,2019,29,66.1,0.0,23.8,0.0,10.1,100.0,45.8,11.4,18.1,0.0,20.4,95.7,4.3,-9.1,-4.8
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,CABA,2020,29,71.3,0.0,22.2,0.0,6.5,100.0,51.2,14.3,11.7,0.0,24.1,101.3,-1.3,-7.9,-9.2
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Córdoba,2017,30,25.9,0.0,41.3,16.0,16.8,100.0,36.5,19.9,17.3,20.5,7.9,101.9,-1.9,-1.7,-3.7
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Córdoba,2018,30,26.0,0.0,42.9,15.3,15.8,100.0,36.1,20.9,21.0,20.6,8.1,106.7,-6.7,-2.5,-9.1
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Córdoba,2019,30,24.5,0.0,43.9,15.6,16.1,100.0,36.2,21.1,11.0,21.3,8.1,97.7,2.3,-3.4,-1.2
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Córdoba,2020,30,28.1,0.0,45.5,14.8,11.5,100.0,36.1,20.1,6.2,20.6,8.8,91.8,8.2,-3.0,5.3
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Corrientes,2017,31,11.1,0.7,60.9,14.4,12.9,100.0,47.7,13.2,15.0,16.8,11.3,104.0,-4.0,-0.5,-4.5
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Corrientes,2018,31,11.2,0.3,64.9,13.8,9.8,100.0,46.7,14.3,13.6,17.3,11.2,103.1,-3.1,-1.5,-4.6
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Corrientes,2019,31,10.4,0.0,67.1,13.1,9.3,100.0,44.5,15.1,13.0,16.6,11.9,101.1,-1.1,-2.0,-3.1
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Corrientes,2020,31,10.2,0.0,68.4,13.4,8.0,100.0,46.1,14.9,12.8,17.0,14.3,105.1,-5.1,-0.7,-5.8
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Chaco,2017,32,11.9,0.0,59.3,14.3,14.5,100.0,52.3,17.9,14.0,16.3,6.4,106.9,-6.9,-1.8,-8.6
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Chaco,2018,32,11.3,0.0,63.8,13.0,11.9,100.0,47.6,20.2,9.9,16.1,5.9,99.8,0.2,-3.7,-3.5
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Chaco,2019,32,10.3,0.0,69.1,13.1,7.6,100.0,47.0,21.7,8.2,16.2,6.6,99.6,0.4,-5.5,-5.1
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Chaco,2020,32,9.9,0.0,68.5,12.7,8.9,100.0,45.0,22.2,9.0,15.3,7.0,98.5,1.5,-1.8,-0.3
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Chubut,2017,33,20.2,14.1,31.9,17.2,16.5,100.0,62.7,9.3,16.6,18.9,6.9,114.3,-14.3,-5.4,-19.7
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Chubut,2018,33,19.5,21.4,29.2,13.9,15.9,100.0,48.8,7.8,11.2,16.1,5.2,89.1,10.9,-6.5,4.3
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Chubut,2019,33,18.7,21.0,29.2,18.1,12.9,100.0,60.5,8.9,8.5,20.5,5.2,103.5,-3.5,-5.7,-9.3
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Chubut,2020,33,17.2,18.6,32.3,19.7,12.2,100.0,66.0,9.9,7.9,23.2,4.7,111.7,-11.7,-5.4,-17.1
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Entre Ríos,2017,34,21.5,0.2,51.1,14.9,12.2,100.0,49.8,16.6,7.3,22.9,6.6,103.2,-3.2,-2.8,-6.0
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Entre Ríos,2018,34,20.5,0.1,52.7,14.2,12.4,100.0,47.3,16.0,5.8,22.6,5.9,97.5,2.5,-3.2,-0.7
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Entre Ríos,2019,34,21.3,0.4,56.0,15.0,7.3,100.0,49.7,17.1,5.3,25.5,6.2,103.8,-3.8,-2.8,-6.6
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Entre Ríos,2020,34,19.8,0.4,55.6,13.7,10.5,100.0,45.6,16.4,3.9,24.0,5.9,95.8,4.2,-2.0,2.2
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Formosa,2017,35,5.7,0.1,66.5,12.1,15.5,100.0,41.0,12.8,18.0,16.0,11.6,99.4,0.6,-0.6,0.0
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Formosa,2018,35,5.6,0.2,70.8,11.4,12.0,100.0,37.9,13.6,18.9,16.5,11.9,98.8,1.2,-0.7,0.5
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Formosa,2019,35,5.2,0.1,74.4,11.9,8.5,100.0,38.1,15.0,15.6,17.7,12.4,98.8,1.2,-0.7,0.5
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Formosa,2020,35,4.9,0.1,75.9,10.9,8.2,100.0,37.2,16.2,15.8,17.2,12.2,98.5,1.5,-0.6,0.9
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Jujuy,2017,36,11.6,0.0,63.9,0.0,24.5,100.0,61.7,29.3,17.2,0.0,5.8,114.1,-14.1,-3.0,-17.0
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Jujuy,2018,36,11.8,0.0,69.1,0.0,19.1,100.0,58.6,25.4,18.6,0.0,5.5,108.2,-8.2,-6.0,-14.2
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Jujuy,2019,36,11.3,0.0,74.5,0.0,14.3,100.0,60.2,25.4,14.0,0.0,4.9,104.5,-4.5,-4.8,-9.3
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Jujuy,2020,36,9.6,0.1,74.8,0.0,15.5,100.0,55.0,22.5,12.9,0.0,6.1,96.4,3.6,-4.0,-0.4
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,La Pampa,2017,37,18.1,1.0,44.1,12.4,24.3,100.0,40.3,17.1,14.4,15.1,9.9,96.8,3.2,-0.4,2.8
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,La Pampa,2018,37,17.9,1.6,48.1,12.1,20.3,100.0,40.3,18.8,13.5,14.8,9.9,97.2,2.8,-0.4,2.3
2024-Q2,2024-12-10,c71ad5ebdf037d9baa031c10a313f8a3516da21ff628259f5480beea09c222ef,La Pampa,2019,37,18.1,1.6,49.4,12.3,18.6,100.0,40.9,17.4,13.6,17.0,11.3,100.2,-0.2,-0.4,-0.7
2024-Q2,2024-12-10,c71ad5ebdf037d9baa031c10a313f8a3516da21ff628259f5480beea09c222ef,La Pampa,2020,37,17.3,1.0,47.5,12.1,22.1,100.0,39.0,17.2,12.7,15.4,11.9,96.2,3.8,-0.4,3.4
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,La Rioja,2017,38,7.4,0.0,67.0,0.0,25.6,100.0,50.0,24.5,22.5,0.0,11.0,107.9,-7.9,-2.1,-10.1
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,La Rioja,2018,38,8.2,0.0,74.0,0.0,17.7,100.0,50.9,26.4,16.0,0.0,11.1,104.4,-4.4,-4.0,-8.4
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,La Rioja,2019,37,7.4,0.0,75.9,0.0,16.7,100.0,52.3,28.4,7.7,0.0,11.3,99.7,0.3,-4.9,-4.6
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,La Rioja,2020,37,6.0,0.0,71.5,0.0,22.4,100.0,44.0,25.6,11.9,0.0,12.0,93.5,6.5,-3.0,3.5
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Mendoza,2017,39,32.0,4.7,42.7,0.0,20.6,100.0,52.9,23.7,11.2,0.0,11.7,99.4,0.6,-5.1,-4.5
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Mendoza,2018,39,30.9,6.8,44.6,0.0,17.8,100.0,47.5,23.0,13.4,0.0,12.0,95.9,4.1,-6.9,-2.8
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Mendoza,2019,38,29.2,6.0,46.7,0.0,18.1,100.0,51.1,24.5,11.2,0.0,11.3,98.2,1.8,-6.8,-5.0
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Mendoza,2020,38,27.7,4.6,49.4,0.0,18.2,100.0,50.3,26.1,8.5,0.0,11.8,96.7,3.3,-3.4,-0.1
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Misiones,2017,40,21.0,0.3,51.9,9.7,17.1,100.0,45.2,23.1,21.3,8.9,7.0,105.5,-5.5,-0.7,-6.1
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Misiones,2018,40,20.6,0.2,53.1,9.7,16.4,100.0,38.1,27.0,17.1,9.1,6.7,98.0,2.0,-0.9,1.0
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Misiones,2019,39,20.2,1.1,54.0,10.9,13.8,100.0,35.3,29.7,17.9,9.4,7.2,99.4,0.6,-0.8,-0.3
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Misiones,2020,39,24.6,0.7,51.2,11.0,12.6,100.0,34.7,33.6,15.8,8.7,6.3,99.0,1.0,-0.5,0.5
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Neuquén,2017,41,22.7,16.9,21.9,17.2,21.3,100.0,55.0,14.5,9.6,17.1,11.6,107.8,-7.8,-4.7,-12.5
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Neuquén,2018,41,25.2,23.7,19.2,15.1,16.7,100.0,46.9,13.7,9.4,15.1,9.4,94.5,5.5,-4.8,0.7
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Neuquén,2019,40,26.7,23.9,19.1,15.9,14.5,100.0,50.6,13.9,8.9,17.7,10.1,101.1,-1.1,-4.8,-5.9
2025-Q1,2025-07-21,941f92d5c21e9161787de5b4e43ae05a20e4686f1ed50dca5075922018981eba,Neuquén,2020,40,22.1,20.7,21.4,17.4,18.4,100.0,54.0,13.1,7.6,19.9,9.5,104.1,-4.1,-4.3,-8.4
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Río Negro,2017,42,23.9,7.4,55.2,0.0,13.4,100.0,68.6,20.8,8.9,0.0,8.5,106.8,-6.8,-3.6,-10.4
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Río Negro,2018,42,24.2,10.5,54.1,0.0,11.2,100.0,59.2,18.2,10.4,0.0,8.3,96.1,3.9,-6.7,-2.9
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Río Negro,2019,41,26.3,8.9,55.0,0.0,9.8,100.0,59.7,19.1,12.4,0.0,9.9,101.1,-1.1,-7.4,-8.5
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Río Negro,2020,40,22.1,7.0,62.2,0.0,8.7,100.0,65.6,20.8,10.9,0.0,10.0,107.4,-7.4,-4.2,-11.6
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Salta,2017,43,18.0,2.3,62.8,0.0,17.0,100.0,59.6,26.9,14.6,0.0,6.6,107.7,-7.7,-3.1,-10.8
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Salta,2018,43,21.6,2.5,63.0,0.0,12.9,100.0,52.3,22.6,9.1,0.0,7.1,91.1,8.9,-3.8,5.1
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Salta,2019,42,21.0,2.5,67.5,0.0,9.0,100.0,56.8,26.5,8.3,0.0,7.9,99.4,0.6,-3.7,-3.1
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Salta,2020,41,19.8,1.8,68.7,0.0,9.8,100.0,60.4,23.9,5.3,0.0,7.0,96.7,3.3,-2.9,0.4
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,San Juan,2017,44,11.6,1.6,60.7,0.0,26.1,100.0,36.4,15.8,29.0,0.0,11.6,92.7,7.3,-0.9,6.4
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,San Juan,2018,44,11.5,1.6,63.6,0.0,23.4,100.0,36.3,15.2,31.5,0.0,13.5,96.4,3.6,-1.1,2.5
